监测点编码,城市
1001A,北京
1002A,北京
1003A,北京
1004A,北京
1005A,北京
1006A,北京
1007A,北京
1008A,北京
1009A,北京
1010A,北京
1011A,北京
1012A,北京
1013A,天津
1014A,天津
1015A,天津
1016A,天津
1017A,天津
1018A,天津
1019A,天津
1020A,天津
1021A,天津
1022A,天津
1023A,天津
1024A,天津
1025A,天津
1026A,天津
1027A,天津
1028A,石家庄
1029A,石家庄
1030A,石家庄
1031A,石家庄
1032A,石家庄
1033A,石家庄
1034A,石家庄
1035A,石家庄
1036A,唐山
1037A,唐山
1038A,唐山
1039A,唐山
1040A,唐山
1041A,唐山
1042A,秦皇岛
1043A,秦皇岛
1044A,秦皇岛
1045A,秦皇岛
1046A,秦皇岛
1047A,邯郸
1048A,邯郸
1049A,邯郸
1050A,邯郸
1051A,保定
1052A,保定
1053A,保定
1054A,保定
1055A,保定
1056A,保定
1057A,张家口
1058A,张家口
1059A,张家口
1060A,张家口
1061A,张家口
1062A,承德
1063A,承德
1064A,承德
1065A,承德
1066A,承德
1067A,廊坊
1068A,廊坊
1069A,廊坊
1070A,廊坊
1071A,沧州
1072A,沧州
1073A,沧州
1074A,衡水
1075A,衡水
1076A,衡水
1077A,邢台
1078A,邢台
1079A,邢台
1080A,邢台
1081A,太原
1082A,太原
1083A,太原
1084A,太原
1085A,太原
1086A,太原
1087A,太原
1088A,太原
1089A,太原
1090A,呼和浩特
1091A,呼和浩特
1092A,呼和浩特
1093A,呼和浩特
1094A,呼和浩特
1095A,呼和浩特
1096A,呼和浩特
1097A,呼和浩特
1098A,沈阳
1099A,沈阳
1100A,沈阳
1101A,沈阳
1102A,沈阳
1103A,沈阳
1104A,沈阳
1105A,沈阳
1106A,沈阳
1107A,沈阳
1108A,沈阳
1109A,大连
1110A,大连
1111A,大连
1112A,大连
1113A,大连
1114A,大连
1115A,大连
1116A,大连
1117A,大连
1118A,大连
1119A,长春
1120A,长春
1121A,长春
1122A,长春
1123A,长春
1124A,长春
1125A,长春
1126A,长春
1127A,长春
1128A,长春
1129A,哈尔滨
1130A,哈尔滨
1131A,哈尔滨
1132A,哈尔滨
1133A,哈尔滨
1134A,哈尔滨
1135A,哈尔滨
1136A,哈尔滨
1137A,哈尔滨
1138A,哈尔滨
1139A,哈尔滨
1140A,哈尔滨
1141A,上海
1142A,上海
1143A,上海
1144A,上海
1145A,上海
1146A,上海
1147A,上海
1148A,上海
1149A,上海
1150A,上海
1151A,南京
1152A,南京
1153A,南京
1154A,南京
1155A,南京
1156A,南京
1157A,南京
1158A,南京
1159A,南京
1160A,苏州
1161A,苏州
1162A,苏州
1163A,苏州
1164A,苏州
1165A,苏州
1166A,苏州
1167A,苏州
1168A,南通
1169A,南通
1170A,南通
1171A,南通
1172A,南通
1173A,连云港
1174A,连云港
1175A,连云港
1176A,连云港
1177A,徐州
1178A,徐州
1179A,徐州
1180A,徐州
1181A,徐州
1182A,徐州
1183A,徐州
1184A,扬州
1185A,扬州
1186A,扬州
1187A,扬州
1188A,无锡
1189A,无锡
1190A,无锡
1191A,无锡
1192A,无锡
1193A,无锡
1194A,无锡
1195A,无锡
1196A,常州
1197A,常州
1198A,常州
1199A,常州
1200A,常州
1201A,常州
1202A,镇江
1203A,镇江
1204A,镇江
1205A,镇江
1206A,泰州
1207A,泰州
1208A,泰州
1209A,泰州
1210A,淮安
1211A,淮安
1212A,淮安
1213A,淮安
1214A,淮安
1215A,盐城
1216A,盐城
1217A,盐城
1218A,盐城
1219A,宿迁
1220A,宿迁
1221A,宿迁
1222A,宿迁
1223A,杭州
1224A,杭州
1225A,杭州
1226A,杭州
1227A,杭州
1228A,杭州
1229A,杭州
1230A,杭州
1231A,杭州
1232A,杭州
1233A,杭州
1234A,宁波
1235A,宁波
1236A,宁波
1237A,宁波
1238A,宁波
1239A,宁波
1240A,宁波
1241A,宁波
1242A,温州
1243A,温州
1244A,温州
1245A,温州
1246A,绍兴
1247A,绍兴
1248A,绍兴
1249A,湖州
1250A,湖州
1251A,湖州
1252A,嘉兴
1253A,嘉兴
1254A,嘉兴
1255A,台州
1256A,台州
1257A,台州
1258A,舟山
1259A,舟山
1260A,舟山
1261A,金华
1262A,金华
1263A,金华
1264A,衢州
1265A,衢州
1266A,衢州
1267A,丽水
1268A,丽水
1269A,丽水
1270A,合肥
1271A,合肥
1272A,合肥
1273A,合肥
1274A,合肥
1275A,合肥
1276A,合肥
1277A,合肥
1278A,合肥
1279A,合肥
1280A,福州
1281A,福州
1282A,福州
1283A,福州
1284A,福州
1285A,福州
1286A,厦门
1287A,厦门
1288A,厦门
1290A,南昌
1291A,南昌
1292A,南昌
1293A,南昌
1294A,南昌
1295A,南昌
1296A,南昌
1297A,南昌
1298A,南昌
1299A,济南
1300A,济南
1301A,济南
1302A,济南
1303A,济南
1304A,济南
1305A,济南
1306A,济南
1307A,青岛
1308A,青岛
1309A,青岛
1310A,青岛
1311A,青岛
1312A,青岛
1313A,青岛
1314A,青岛
1315A,青岛
1316A,郑州
1317A,郑州
1318A,郑州
1319A,郑州
1320A,郑州
1321A,郑州
1322A,郑州
1323A,郑州
1324A,郑州
1325A,武汉
1326A,武汉
1327A,武汉
1328A,武汉
1329A,武汉
1330A,武汉
1331A,武汉
1332A,武汉
1333A,武汉
1334A,武汉
1335A,长沙
1336A,长沙
1337A,长沙
1338A,长沙
1339A,长沙
1340A,长沙
1341A,长沙
1342A,长沙
1343A,长沙
1344A,长沙
1345A,广州
1346A,广州
1347A,广州
1348A,广州
1349A,广州
1350A,广州
1351A,广州
1352A,广州
1353A,广州
1354A,广州
1355A,广州
1356A,深圳
1357A,深圳
1358A,深圳
1359A,深圳
1360A,深圳
1361A,深圳
1362A,深圳
1363A,深圳
1364A,深圳
1365A,深圳
1366A,深圳
1367A,珠海
1368A,珠海
1369A,珠海
1370A,珠海
1371A,佛山
1372A,佛山
1373A,佛山
1374A,佛山
1375A,佛山
1376A,佛山
1377A,佛山
1378A,佛山
1379A,中山
1380A,中山
1381A,中山
1382A,中山
1383A,江门
1384A,江门
1385A,江门
1386A,江门
1387A,东莞
1388A,东莞
1389A,东莞
1390A,东莞
1391A,东莞
1392A,惠州
1393A,惠州
1394A,惠州
1395A,惠州
1396A,惠州
1397A,肇庆
1398A,肇庆
1399A,肇庆
1400A,肇庆
1401A,南宁
1402A,南宁
1403A,南宁
1404A,南宁
1405A,南宁
1406A,南宁
1407A,南宁
1408A,南宁
1409A,海口
1410A,海口
1411A,海口
1412A,海口
1413A,海口
1414A,重庆
1415A,重庆
1416A,重庆
1417A,重庆
1418A,重庆
1419A,重庆
1420A,重庆
1421A,重庆
1422A,重庆
1423A,重庆
1424A,重庆
1425A,重庆
1426A,重庆
1427A,重庆
1428A,重庆
1429A,重庆
1430A,重庆
1431A,成都
1432A,成都
1433A,成都
1434A,成都
1435A,成都
1436A,成都
1437A,成都
1438A,成都
1439A,贵阳
1440A,贵阳
1441A,贵阳
1442A,贵阳
1443A,贵阳
1444A,贵阳
1445A,贵阳
1446A,贵阳
1447A,贵阳
1449A,昆明
1450A,昆明
1451A,昆明
1452A,昆明
1453A,昆明
1454A,昆明
1455A,昆明
1456A,拉萨
1457A,拉萨
1458A,拉萨
1459A,拉萨
1460A,拉萨
1461A,拉萨
1462A,西安
1463A,西安
1464A,西安
1465A,西安
1466A,西安
1467A,西安
1468A,西安
1469A,西安
1470A,西安
1471A,西安
1472A,西安
1473A,西安
1474A,西安
1475A,兰州
1476A,兰州
1477A,兰州
1478A,兰州
1479A,兰州
1480A,西宁
1481A,西宁
1482A,西宁
1483A,西宁
1484A,银川
1485A,银川
1486A,银川
1487A,银川
1488A,银川
1489A,银川
1490A,乌鲁木齐
1491A,乌鲁木齐
1492A,乌鲁木齐
1493A,乌鲁木齐
1494A,乌鲁木齐
1495A,乌鲁木齐
1496A,乌鲁木齐
1508A,湘潭
1511A,湘潭
1512A,湘潭
1513A,湘潭
1514A,湘潭
1515A,株洲
1518A,株洲
1519A,株洲
1520A,株洲
1524A,株洲
1552A,贵阳
1559A,株洲
1562A,湘潭
1564A,湘潭
1585A,包头
1586A,包头
1587A,包头
1588A,包头
1589A,包头
1590A,包头
1591A,鄂尔多斯
1592A,鄂尔多斯
1593A,鄂尔多斯
1594A,鄂尔多斯
1595A,鄂尔多斯
1596A,营口
1597A,营口
1598A,营口
1599A,营口
1600A,丹东
1601A,丹东
1602A,丹东
1603A,丹东
1604A,盘锦
1605A,盘锦
1606A,盘锦
1607A,葫芦岛
1608A,葫芦岛
1609A,葫芦岛
1610A,葫芦岛
1611A,泉州
1612A,泉州
1613A,泉州
1614A,泉州
1615A,济南
1616A,济南
1617A,济南
1618A,临沂
1619A,临沂
1620A,临沂
1621A,临沂
1622A,德州
1623A,德州
1624A,德州
1625A,聊城
1626A,聊城
1627A,聊城
1628A,滨州
1629A,滨州
1630A,滨州
1631A,淄博
1632A,淄博
1633A,淄博
1634A,淄博
1635A,淄博
1636A,淄博
1637A,枣庄
1638A,枣庄
1639A,枣庄
1640A,枣庄
1641A,枣庄
1642A,烟台
1643A,烟台
1644A,烟台
1645A,烟台
1646A,烟台
1647A,烟台
1648A,潍坊
1649A,潍坊
1650A,潍坊
1651A,潍坊
1652A,潍坊
1653A,济宁
1654A,济宁
1655A,济宁
1656A,泰安
1657A,泰安
1658A,泰安
1659A,日照
1660A,日照
1661A,日照
1662A,威海
1663A,威海
1664A,威海
1665A,东营
1666A,东营
1667A,东营
1668A,东营
1669A,韶关
1670A,韶关
1671A,韶关
1672A,韶关
1673A,韶关
1674A,汕头
1675A,汕头
1676A,汕头
1677A,汕头
1678A,汕头
1679A,汕头
1680A,湛江
1681A,湛江
1682A,湛江
1683A,湛江
1684A,湛江
1685A,湛江
1686A,茂名
1687A,茂名
1688A,茂名
1689A,茂名
1690A,梅州
1691A,梅州
1692A,梅州
1693A,汕尾
1694A,汕尾
1695A,汕尾
1696A,河源
1697A,河源
1698A,河源
1699A,阳江
1700A,阳江
1701A,阳江
1702A,清远
1703A,清远
1704A,清远
1705A,潮州
1706A,潮州
1707A,潮州
1708A,揭阳
1709A,揭阳
1710A,揭阳
1711A,揭阳
1712A,云浮
1713A,云浮
1714A,云浮
1715A,玉溪
1716A,玉溪
1717A,玉溪
1718A,菏泽
1719A,菏泽
1720A,菏泽
1721A,大同
1722A,大同
1723A,大同
1724A,大同
1725A,大同
1726A,大同
1727A,长治
1728A,长治
1729A,长治
1730A,长治
1731A,长治
1732A,临汾
1733A,临汾
1734A,临汾
1735A,临汾
1736A,临汾
1737A,临汾
1738A,阳泉
1739A,阳泉
1740A,阳泉
1741A,阳泉
1742A,阳泉
1743A,阳泉
1744A,赤峰
1745A,赤峰
1746A,赤峰
1747A,赤峰
1748A,鞍山
1749A,鞍山
1750A,鞍山
1751A,鞍山
1752A,鞍山
1753A,鞍山
1754A,鞍山
1755A,抚顺
1756A,抚顺
1757A,抚顺
1758A,抚顺
1759A,抚顺
1760A,抚顺
1761A,本溪
1762A,本溪
1763A,本溪
1764A,本溪
1765A,本溪
1766A,本溪
1767A,锦州
1768A,锦州
1769A,锦州
1770A,锦州
1771A,锦州
1772A,吉林
1773A,吉林
1774A,吉林
1775A,吉林
1776A,吉林
1778A,吉林
1779A,齐齐哈尔
1780A,齐齐哈尔
1781A,齐齐哈尔
1782A,齐齐哈尔
1783A,齐齐哈尔
1784A,牡丹江
1785A,牡丹江
1786A,牡丹江
1787A,牡丹江
1788A,牡丹江
1789A,大庆
1790A,大庆
1791A,大庆
1792A,大庆
1793A,大庆
1794A,芜湖
1795A,芜湖
1796A,芜湖
1797A,芜湖
1798A,马鞍山
1799A,马鞍山
1800A,马鞍山
1801A,马鞍山
1802A,马鞍山
1803A,九江
1804A,九江
1805A,九江
1806A,九江
1807A,九江
1808A,九江
1809A,九江
1810A,九江
1811A,洛阳
1812A,洛阳
1813A,洛阳
1814A,洛阳
1815A,洛阳
1816A,洛阳
1817A,洛阳
1818A,安阳
1819A,安阳
1820A,安阳
1821A,安阳
1822A,安阳
1823A,开封
1824A,开封
1825A,开封
1826A,开封
1827A,焦作
1828A,焦作
1829A,焦作
1830A,焦作
1831A,平顶山
1832A,平顶山
1833A,平顶山
1834A,平顶山
1835A,三门峡
1836A,三门峡
1837A,三门峡
1838A,三门峡
1839A,宜昌
1840A,宜昌
1841A,宜昌
1842A,宜昌
1843A,宜昌
1844A,荆州
1845A,荆州
1846A,荆州
1847A,岳阳
1848A,岳阳
1849A,岳阳
1850A,岳阳
1851A,岳阳
1852A,岳阳
1853A,常德
1854A,常德
1855A,常德
1856A,常德
1857A,常德
1858A,张家界
1859A,张家界
1860A,张家界
1861A,张家界
1862A,桂林
1863A,桂林
1864A,桂林
1865A,桂林
1866A,北海
1867A,北海
1868A,北海
1869A,北海
1870A,柳州
1871A,柳州
1872A,柳州
1873A,柳州
1874A,柳州
1875A,柳州
1876A,三亚
1877A,三亚
1878A,绵阳
1879A,绵阳
1880A,绵阳
1881A,绵阳
1882A,宜宾
1883A,宜宾
1884A,宜宾
1885A,宜宾
1886A,宜宾
1887A,宜宾
1888A,攀枝花
1889A,攀枝花
1890A,攀枝花
1891A,攀枝花
1893A,泸州
1894A,泸州
1895A,泸州
1896A,泸州
1897A,自贡
1898A,自贡
1899A,自贡
1900A,自贡
1901A,德阳
1902A,德阳
1903A,德阳
1904A,德阳
1905A,南充
1906A,南充
1907A,南充
1908A,南充
1909A,南充
1910A,南充
1911A,遵义
1912A,遵义
1913A,遵义
1914A,遵义
1915A,遵义
1916A,曲靖
1917A,曲靖
1918A,咸阳
1919A,咸阳
1920A,咸阳
1921A,咸阳
1922A,铜川
1923A,铜川
1924A,铜川
1925A,铜川
1926A,延安
1927A,延安
1928A,延安
1929A,延安
1930A,宝鸡
1931A,宝鸡
1932A,宝鸡
1933A,宝鸡
1934A,宝鸡
1935A,宝鸡
1936A,宝鸡
1937A,宝鸡
1938A,渭南
1939A,渭南
1940A,渭南
1941A,渭南
1942A,金昌
1943A,金昌
1944A,金昌
1945A,嘉峪关
1947A,石嘴山
1948A,石嘴山
1949A,石嘴山
1950A,石嘴山
1951A,克拉玛依
1952A,克拉玛依
1953A,克拉玛依
1954A,克拉玛依
1955A,克拉玛依
1956A,巴音郭楞州
1957A,巴音郭楞州
1958A,巴音郭楞州
1959A,寿光
1960A,寿光
1961A,济南
1961A,章丘
1962A,章丘
1963A,即墨
1964A,即墨
1965A,胶南
1966A,青岛
1966A,胶南
1967A,胶州
1968A,胶州
1969A,莱西
1970A,莱西
1971A,平度
1972A,平度
1973A,蓬莱
1974A,蓬莱
1975A,招远
1976A,招远
1977A,莱州
1978A,莱州
1979A,荣成
1980A,荣成
1981A,文登
1982A,威海
1983A,乳山
1984A,乳山
1985A,吴江
1986A,吴江
1987A,吴江
1988A,昆山
1989A,昆山
1990A,常熟
1991A,常熟
1992A,常熟
1993A,张家港
1994A,张家港
1995A,太仓
1996A,太仓
1997A,句容
1998A,句容
1999A,江阴
2000A,江阴
2001A,江阴
2002A,宜兴
2003A,宜兴
2004A,金坛
2005A,金坛
2006A,溧阳
2007A,溧阳
2008A,海门
2009A,海门
2010A,临安
2011A,临安
2012A,富阳
2013A,富阳
2014A,义乌
2015A,义乌
2016A,诸暨
2017A,诸暨
2018A,瓦房店
2019A,瓦房店
2031A,株洲
2054A,信阳
2064A,信阳
2065A,信阳
2066A,信阳
2067A,周口
2068A,周口
2069A,周口
2070A,周口
2073A,漳州
2074A,漳州
2075A,漳州
2160A,晋城
2161A,晋城
2162A,晋城
2163A,晋城
2164A,晋城
2165A,晋城
2166A,朔州
2167A,朔州
2168A,朔州
2169A,朔州
2170A,朔州
2171A,晋中
2172A,晋中
2173A,晋中
2174A,晋中
2175A,运城
2176A,运城
2177A,运城
2178A,运城
2179A,运城
2180A,忻州
2181A,忻州
2182A,忻州
2183A,吕梁
2184A,吕梁
2185A,吕梁
2186A,乌海
2187A,乌海
2188A,乌海
2189A,通辽
2190A,通辽
2191A,通辽
2192A,呼伦贝尔
2193A,呼伦贝尔
2194A,巴彦淖尔
2195A,巴彦淖尔
2196A,巴彦淖尔
2197A,乌兰察布
2198A,乌兰察布
2199A,兴安盟
2200A,兴安盟
2201A,兴安盟
2202A,锡林郭勒盟
2203A,锡林郭勒盟
2204A,阿拉善盟
2205A,阿拉善盟
2206A,阿拉善盟
2207A,阜新
2208A,阜新
2209A,阜新
2210A,阜新
2211A,阜新
2212A,辽阳
2213A,辽阳
2214A,辽阳
2215A,辽阳
2216A,铁岭
2217A,铁岭
2218A,铁岭
2219A,铁岭
2220A,朝阳
2221A,朝阳
2222A,朝阳
2223A,朝阳
2224A,四平
2225A,四平
2226A,四平
2227A,辽源
2228A,辽源
2229A,通化
2230A,通化
